Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Robot Framework Test Automation: Level 1 (Selenium),"Get a comprehensive introduction to Robot Framework, a free, open source, keyword-driven test automation framework. In this course, instructor Bryan Lamb helps you discover how you can use this easy and powerful test automation tool to automate software tests quickly and easily. After a detailed installation section, Bryan shows you how to create your very first Robot Framework script in just minutes, and then demonstrates several options for running it, including via PyCharm, Windows command line, and the Jenkins CI platform. He then walks you through the process of how to make your script more readable by incorporating variables, custom keywords, and page objects. Finally, he provides hands-on walkthroughs of several of the most popular Robot Framework libraries.",Course,2026-03-11 20:46 UTC,2026-03-11 20:42 UTC,false,N/A,
Test Automation Foundations,"<p>Automated testing relies on scripting and frameworks like Selenium to prove that products work as expected. Test automation is an enormous time-saver, and it's crucial to continuous integration, continuous delivery, and agile software development. If you're employed in QA, DevOps, or IT, you need to know the basics. This course covers the foundations of test automation, as well as different strategies for implementation. QA engineer Meaghan Lewis explains what kinds of tests to use, how to choose the right test tools, and how to plan and execute test automation projects. She also describes strategies to maintain automation over time: adding new tests, updating old tests, and resolving failures. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/lambdatest-test-automation-professional-certificate"" target=""_blank"">Professional Certificate</a> from LambdaTest.</p>",Course,2026-03-17 15:33 UTC,2021-04-18 04:33 UTC,false,N/A,
Local AI: Build a RAG Model from Scratch with Open-Source Tools,"In this hands-on course, physicist and educator Dr. Alaa Moussawi guides you toward mastery of Retrieval-Augmented Generation (RAG) models. Learn to construct your own custom AI bots by integrating vector databases with language models for contextually accurate responses. Explore essential concepts such as vector embeddings, query processing, and prompt engineering. Learn how to optimize your resources by running lightweight models efficiently, even on limited hardware. Find out how to generate effective vector embeddings and extract relevant information from diverse data sources. Benefit from the flexibility of open-source software as you adapt the models to specific domains or styles, while customizing the knowledge base of your bot. Keep innovating and pushing boundaries with retrieval-augmented intelligence and join the vibrant open-source community in this exploratory learning adventure.",Course,2026-07-01 12:45 UTC,N/A,false,N/A,
Selenium esencial,"Domina Selenium, uno de los entornos pioneros en pruebas de software para aplicaciones basadas en la web. Aprende con este curso a utilizarlo desde cero y consigue realizar pruebas relevantes y eficientes que te permitan crear productos de la más alta calidad.",Course,2026-01-06 22:09 UTC,2026-01-06 22:08 UTC,false,N/A,
Testing in React with Vitest,"This course guides you through the process of setting up and testing web applications using Vitest integrated with the React Testing Library and other essential libraries. Learn how to set up a React app with Vite, install dependencies, and initialize your project, as you explore the basics of Vitest and how it can fit into your testing strategy with instructor Cyrus Ndirangu. Configure ESLint and Prettier to maintain code quality and style consistency, before you get started with your first unit test. Progressively, discover best practices for testing application state and hooks quickly and efficiently. By the end of the course, you’ll be ready to write tests that validate your application's functionality, including testing mock API requests and ensuring correct routing using the React Router. With practical examples and expert guidance throughout, this course shows you why testing is so crucial and how to use it to improve your development workflow.",Course,2025-10-04 12:33 UTC,N/A,false,N/A,
BIM Manager: Managing CAD Standards,"Gain insight on why CAD standards are important to your firm, and what actually goes into a successful standards implementation. To begin, learn about the CAD, BIM, and virtual design and construction (VDC) manager roles. Next, learn about the National CAD Standard (NCS), and look at sheet numbering, approved border formats, text styles, and lineweights as they relate to NCS. Plus, learn about the BIM Level of Detail, COBie and IFC formats, assigning a project CAD lead, reviewing the QA and QC process, and more.",Course,2025-10-08 01:48 UTC,N/A,false,N/A,
Playwright: Design Patterns,"In this course, learn how to leverage design patterns to enhance your test automation framework using Playwright. By understanding and implementing patterns such as the Page Object Model, fixtures, and data-driven testing, you'll be able to write cleaner, more maintainable, and scalable test scripts. This course is designed for test automation engineers and developers who want to improve their testing skills and ensure their tests are robust and easy to maintain. Through practical examples and hands-on exercises, gain the knowledge and skills needed to apply these design patterns effectively in your projects.",Course,2025-11-13 16:56 UTC,2025-10-08 01:38 UTC,true,N/A,
Excel: Crear un dashboard intuitivo e impactante desde cero (2019),"Aprende a crear en Excel paneles o cuadros de mando destinados al análisis y la toma de decisiones. Entiende paso a paso qué tablas dinámicas, funciones o gráficos necesitas para que sean intuitivos y permitan entender de una pasada gran cantidad de datos. Conoce los tipos posibles y sus distintas utilidades como, por ejemplo, para mostrar datos económicos y financieros o para el área comercial. Empieza hoy y no dejes escapar la ventaja competitiva que supone dominar los dashboard.",Course,2020-10-03 18:29 UTC,N/A,false,N/A,
AI Coding Agents with GitHub Copilot and Cursor,"Explore how to work with AI coding agents that can create, edit, organize, delete files, run programs in the command line, and more. AI coding assistants have already changed the way developers write and maintain code. Now they are gaining agentive abilities that let them act directly in projects: to add and edit code, create and organize files, extend features, and more. Explore how AI coding agents work, how to use them to supercharge your workflows, where the opportunities and pitfalls are, and how to keep your skills current as the world of software development evolves.",Course,N/A,N/A,true,N/A,
Excel: Fórmulas y funciones avanzadas (Office 365/Microsoft 365),"Domina las fórmulas y funciones en Excel en su versión Microsoft 365 (antes Office 365) el programa de referencia en lo que se refiere a hojas de cálculo. Conoce paso a paso desde los conceptos más básicos hasta los más avanzados. Aprende cuáles son las fórmulas y funciones más importantes, como las de texto, de fecha, de búsqueda, condicionales, matemáticas, estadísticas o financieras, entre otras, y mejora tus conocimientos sobre cómo utilizarlas para conseguir cálculos más eficientes y eficaces.",Course,2020-10-16 06:41 UTC,N/A,false,N/A,
Integración HTML y CSS esencial,"Empieza hoy a dar tus primeros pasos con HTML y CSS. Conoce cómo dar forma al código partiendo de un diseño preestablecido, aprende a organizar correctamente las etiquetas de manera semántica y entiende los diferentes patrones de CSS para trabajar con el diseño, entre otros conceptos esenciales que te permitirán crear tu primera página web con éxito.",Course,2021-04-28 22:19 UTC,N/A,false,N/A,
Domina Python: Nivel 2,"Aprende trucos avanzados y técnicas para mejorar tu habilidad en Python con este contenido formativo. A través de vídeos prácticos y ejemplos, aprenderás cómo hacer una prueba unitaria que involucre fechas dinámicas con Python, cómo crear arreglos y matrices con Numpy y mucho más. Además, todo el código del curso estará disponible en GitHub Codespaces, lo que te permitirá seguir practicando y mejorando tus habilidades en cualquier momento. ¡No pierdas la oportunidad de mejorar tus habilidades en Python!",Course,2023-08-01 00:48 UTC,N/A,false,N/A,
Aprende big data: Análisis de datos,"Aprende big data para la empresa de hoy, desde las bases fundamentales a los roles más específicos de la ciencia de los datos. Conoce a qué nos referimos con big data y por qué es necesario estar al día en esta tecnología para sobrevivir en el ecosistema empresarial. Expande tus conocimientos sobre la presencia del big data en nuestras vidas y en las tecnologías que la rodean, y entiende cómo sacar mayor partido a este futuro reciente en tu propia empresa.",Course,2020-09-23 04:05 UTC,N/A,false,N/A,
JMeter: Performance and Load Testing,"Interested in adding load testing to your professional tool kit? In this course, learn how to use Apache JMeter, a popular open-source performance testing tool, to create and execute load tests that help you highlight performance issues in your software. Instructor Mike Smith takes you through the installation and setup of JMeter and JRE on Windows, and then shows how to create and run your first load test. Mike also goes over how to improve your load test by adding timers and assertions, how to run your load test through the CLI, and how to view your results in different ways by creating an HTML dashboard at CLI runtime.",Course,2026-06-16 13:14 UTC,N/A,false,N/A,
Project 2019 y Project Online Professional esencial,"Microsoft Project es el programa de creación y administración de proyectos más popular y profesional del mercado. Junto con Project Online, permite que millones de usuarios gestionen sus proyectos de manera óptima, los ayuda con la planificación y les permite llevar un seguimiento perfecto de su proyecto e identificar su estado en cada momento. En este curso, vamos a ver cómo crear un plan de proyecto, incorporar tareas, organizarlas y vincularlas, crear un calendario laboral y visualizar  la ruta crítica del proyecto. Además, aprenderás qué tipos de recursos existen y cómo añadirlos.",Course,2021-06-26 00:46 UTC,N/A,false,N/A,
Angular esencial,"Angular es un popular framework de JavaScript para la creación de aplicaciones web, que ha recibido en 2017 un avance importante frente a la versiones anteriores, mejorando su rendimiento, tamaño y sintaxis. En este curso aprenderás a crear aplicaciones con Angular, avanzarás paso a paso en su uso, desde la instalación, configuración y arquitectura hasta la publicación final de una aplicación. Al final del curso habrás creado tu primera aplicación utilizando esta potente plataforma elegida por miles de desarrolladores en el mundo y mantenida por Google.",Course,N/A,N/A,true,N/A,
C#: Design Patterns Part 1,"Design patterns are an important part of programming. Rather than programming solutions to every issue from scratch, developers can implement these patterns that solve common problems. In this course, instructor Richard Goforth explains the purpose and effective use of key design patterns in C#. Richard begins by discussing why design patterns make sense, what they are, and how they are grouped and categorized. He then provides an overview of the creational, behavioral, and structural Gang of Four design patterns and how they are applied in C# and .NET. Next, he takes a deeper dive into the Iterator, Factory Method, and Adapter patterns, providing hands-on challenges that help you master the application of these patterns in your own code.",Course,2025-10-21 00:10 UTC,2025-10-21 00:08 UTC,true,N/A,
Concienciación en ciberseguridad,"Comprende cómo la tecnología e Internet han transformado nuestras vidas, sociedades y empresas, y cómo la prevención de cualquier ciberriesgo y ciberamenaza pasa por estar informados para detectar y comprender cómo actúan los cibercriminales. En este contenido darás un repaso por sus motivaciones y modus operandi para saber aplicar los mejores consejos y medidas de seguridad que te permitan prevenir la inmensa mayoría de ciberataques; protegiendo tus dispositivos, tu información y a tu organización.",Course,2022-09-21 16:22 UTC,N/A,false,N/A,
Despliegue de Docker en AWS,"Descubre en detalle las principales funciones de Docker en Amazon Web Services y cómo implementar una aplicación basada en Docker para tenerla funcionando desde Amazon ECS y Amazon EC2. A lo largo de este curso explorarás los conceptos más importantes para la virtualización de contenedores y las ventajas de usar Docker en AWS en concreto. También aprenderás de cero a crear y configurar un registro de AWS ECR, además de la implementación una imagen de Docker en Amazon ECS y Amazon EC2 paso a paso.",Course,2022-12-06 20:03 UTC,N/A,false,N/A,
Crea un perfil de éxito en LinkedIn,"¿Siempre te has preguntado si necesitas una cuenta de usuario en LinkedIn? Este curso te descubrirá el verdadero potencial de la red social profesional más grande del mundo y cómo puede ayudarte a mejorar tus perspectivas profesionales si cuentas con un perfil completo y atractivo. Paso a paso, aprenderás a crear tu propia cuenta y a enriquecerla con toda la información que te representa como especialista en tu campo, para que tu presencia digital impresione al mundo y te traiga grandes contactos y oportunidades laborales.",Course,2020-11-05 05:54 UTC,N/A,false,N/A,
Getting Things Done. Organízate con eficacia,"Con David Allen, autor de fama mundial y experto en productividad y gestión del tiempo, descubre su proceso de cinco pasos para organizarte con eficacia. Getting Things Done (GTD) es un método que te mostrará cómo afrontar tu trabajo sin abrumarte,  dejando espacio en tu vida para tareas más significativas. Aprende a capturar, clarificar, organizar, revisar y hacer las tareas que demandan tu atención, y seguir adelante con la cabeza clara y un enfoque decidido.",Course,2026-04-30 21:07 UTC,N/A,false,N/A,
Azure: Microservicios avanzados para desarrollo .NET,"Descubre conceptos y patrones de diseño sofisticados para construir aplicaciones nativas de la nube con microservicios en Azure, usando .NET, ASP.NET Core y el lenguaje C#. Durante este contenido conseguirás comprender los principios fundamentales de los microservicios a través de conceptos avanzados y robustos como: la arquitectura basada en eventos (Event-Driven Architecture), Domain-Driven Design, CQRS, Event Sourcing y API Gateway. A través de un proyecto de ejemplo, conseguirás las tácticas avanzadas que necesitas para construir mejores soluciones nativas de la nube con Azure y .NET.",Course,2022-02-11 12:09 UTC,N/A,false,N/A,
DevOps Foundations: Transforming the Enterprise,"As your organization evolves, your IT practices can't remain stagnant. Growing organizations are faced with a variety of new and unique concerns: legacy programs, multiple vendors, and more. In this course, learn how to adopt and scale DevOps—a set of practices you may already be familiar with—in an enterprise environment. Instructor Mirco Hering explains what makes enterprise-level DevOps unique and steps through how to jump-start your own transformation. Learn how to analyze your application portfolio and identify a minimum viable cluster for your DevOps adoption. Explore value stream mapping and the different types of enterprise-level DevOps tools. Plus, learn how to include vendors in your DevOps journey, steer your transformation, and make a central DevOps team work for your business.",Course,N/A,N/A,true,N/A,
Succeeding in DevOps,"DevOps engineer is one of the most in-demand tech jobs on the market. But since this role is still relatively new, aspiring DevOps engineers may have a somewhat murky understanding of what the position entails. In this course, Laura Stone clearly outlines what's expected of DevOps practitioners, as well as what it takes to become a DevOps engineer (and how to excel once you've landed the job). She begins by highlighting the basic qualifications and training needed to land a job as a DevOps practitioner. Next, she provides a technical roadmap for the skills needed to gain an entry-level role in DevOps; shares tips from a DevOps recruiter;  and provides steps for measuring progress and achieving your goals throughout your DevOps career.",Course,2021-10-15 14:06 UTC,2021-05-14 04:31 UTC,false,N/A,
Agile en acción: Mejorar con retrospectivas ágiles (2019),"Una retrospectiva ágil permite que el equipo mejore de manera continua y en conjunto. Esta simple práctica hace que los miembros del equipo dejen de centrarse tanto en los problemas del día a día que surgen con la entrega del producto y se centren en el equipo. ¿Qué estamos haciendo bien? ¿Qué podemos hacer mejor? La respuesta a estas preguntas ayudarán a que el equipo cree una mentalidad más ágil. Se organizarán a sí mismos y serán más productivos. En lugar de hacer una reunión post mortem al final del proyecto, harán comprobaciones durante todo el proceso.
En este curso, el experto en Agile Doug Rose describe las cinco fases de las reuniones de retrospectiva: establecer el rumbo, poner los problemas sobre la mesa, recopilar información del equipo, tomar decisiones, y por último, aplicar los cambios. Doug utiliza el diagrama de estrella de mar y el diagrama PANCAKE para identificar problemas y oportunidades de mejora, y muestra cómo cerrar una retrospectiva con elementos de acción claros.",Course,2021-08-30 03:45 UTC,N/A,true,N/A,
.NET 5: ASP.NET Core esencial,"Amplía y expande tus conocimientos sobre el desarrollo de sofisticadas soluciones de microservicios y web usando ASP.NET Core 5. Durante este contenido formativo cargado de ejemplos repasarás los conceptos fundamentales de la plataforma de desarrollo ASP.NET Core 5. Al finalizar, serás capaz de identificar sus componentes más importantes, sus diferentes tipos de proyectos y las herramientas necesarias para construir soluciones, como el uso de web API, Tye, páginas Razor o Blazor, entre otros conceptos clave.",Course,2021-09-06 02:20 UTC,N/A,false,N/A,
.NET Core avanzado (2019),"Lleva tu potencial de desarrollo a un nuevo nivel gracias a las funcionalidades avanzadas disponibles en .NET Core 3.0. Incrementa tus conocimientos sobre la plataforma conociendo su funcionamiento interno, conceptos clave como los modelos de servicios gRPC, características poderosas en WPF o cómo se mejora la seguridad con ASP.NET Core Identity.",Course,2020-05-06 14:08 UTC,N/A,false,N/A,
Scrum avanzado,"Cuando ya dominas los fundamentos de Scrum, puedes empezar a profundizar más en este marco de trabajo tan popular. 
Aprende en este curso técnicas avanzadas de Scrum que harán que tú y tu equipo sean incluso más eficaces. Kelley O'Connell empieza el curso repasando algunos fundamentos de Scrum y explicando cómo optimizar la eficacia del propietario del producto y del Scrum Master. Luego, enseña el rol del propietario del producto en profundidad y cómo puedes realzar sus habilidades para que el producto sea insuperable. A continuación, explora el papel del Scrum Master y explica cómo puede perfeccionar sus técnicas para interceder por el equipo, y cómo eliminar obstáculos que se pueden interponer en el camino hacia el éxito.",Course,2025-02-11 20:53 UTC,2021-04-15 04:40 UTC,false,N/A,
Conviértete en especialista en desarrollo .NET,Comienza hoy mismo a desarrollar de manera profesional en .NET. Conoce las características fundamentales de este framework de Microsoft que hace un énfasis en la transparencia de redes y el desarrollo ágil. Descubre por qué .NET es una plataforma de desarrollo estratégica que te permite un rápido desarrollo de aplicaciones con independencia de la plataforma de hardware o sistema operativo que utilices.,Learning Path,2022-06-28 17:53 UTC,N/A,false,N/A,
Conviértete en especialista en desarrollo iOS,"¿Quieres crear tus propias aplicaciones? ¿Te interesa adentrarte en el mundo de iOS y dedicarte al desarrollo de apps? Descubre las herramientas, el lenguaje y los conceptos necesarios para crear y desarrollar aplicaciones para iOS.					
					
					",Learning Path,2021-07-02 13:06 UTC,N/A,false,N/A,
Conviértete en especialista en desarrollo Android,"Android es la plataforma de referencia para la creación de aplicaciones móviles, y es un mercado que, pese a estar altamente explotado, sigue siendo uno de los más florecientes. Aprende a crear aplicaciones moviles para esta plataforma de dispositivos, desde teléfonos móviles hasta tablets, pasando por ordenadores y otros muchos dispositivos que aceptan aplicaciones de este tipo.",Learning Path,2021-04-28 18:56 UTC,N/A,false,N/A,
Conviértete en especialista en programación,"El trabajo en programación es hoy en día uno de los sectores laborales con más demanda. Consigue los conocimientos necesarios para convertirte en un especialista en programación de éxito y aprende los fundamentos que precisas, sea cual sea el lenguaje de programación al que te dediques.	",Learning Path,2023-09-08 15:37 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5c3dab68498e17ea5c880aba,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5c3dab68498e17ea5c880aba,Learning Path,2021-08-03 18:59 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5c1198fa498ea58dd726c540,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5c1198fa498ea58dd726c540,Learning Path,2021-05-01 22:44 UTC,2021-05-01 22:44 UTC,false,N/A,
Conviértete en especialista en administración de redes,"Aprende las habilidades necesarias para diseñar una nueva red. Consigue implementar dicho proyecto de red utilizando el modelo TCP/IP. Desarrolla y expande tus conocimientos sobre ciberseguridad para que tu red esté siempre segura y domina, además, las diferentes herramientas que necesitarás para realizar una correcta gestión de las redes de tu propia empresa en el día a día.",Learning Path,2021-04-28 18:56 UTC,N/A,false,N/A,
Conviértete en especialista en desarrollo Swift,"Descubre todas las posibilidades de Swift, el lenguaje de programación multiparadigma creado por Apple para su propio ecosistema. En este itinerario, aprenderás todo lo que necesitas saber para dominar la programación con este popular lenguaje. Además, entenderás por qué resulta particularmente seguro, fácil de integrar con otros frameworks y rápido; haciéndolo ideal para el desarrollo ágil de software.				
				
				
				
				
				",Learning Path,2025-02-11 23:04 UTC,N/A,false,N/A,
Desarrolla tus habilidades de productividad con IA generativa con Microsoft y LinkedIn,"Transforma datos brutos en perspectivas significativas, crea presentaciones convincentes y genera imágenes creativas utilizando las herramientas más recientes.",Learning Path,2026-07-02 02:51 UTC,N/A,false,N/A,
Conviértete en desarrollador Azure,"Amplifica tus capacidades de desarrollo con Azure, la apuesta de Microsoft en servicios en la nube para desarrolladores y especialistas IT. Este itinerario está pensado para que puedas ponerte al día con los servicios más interesantes que ofrece Azure para el desarrollo de código y la creación de aplicaciones con inteligencia artificial. Al terminar, habrás dado un paso más hacia el futuro que espera al desarrollo de aplicaciones.<br><br><b>Nota</b>: Esta ruta de aprendizaje se <b>actualizó el 17 de agosto de 2026</b>. Si ya habías completado la ruta, tu certificado de finalización no se ve afectado. Si la estabas haciendo, es posible que ahora se requiera este curso: Azure DevOps esencial.",Learning Path,2022-05-07 23:22 UTC,N/A,false,N/A,
RAG Fine-Tuning: Advanced Techniques for Accuracy and Model Performance,"Unlock the power of retrieval-augmented generation (RAG) with this hands-on course on RAFT (retrieval-augmented fine-tuning). Learn to integrate fine-tuning with RAG to create domain-specific models that deliver accurate, contextually relevant responses. From understanding core concepts to implementing advanced techniques like RAFT and using tools like Azure AI Studio, this course equips you with the skills to enhance and deploy sophisticated RAG systems. Ideal for AI practitioners aiming to optimize model performance in specialized domains.",Course,2026-02-12 13:41 UTC,N/A,false,N/A,
"Learning Full-Stack JavaScript Development: MongoDB, Node, and React","Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js.

Learn how to use Node as a web server and an API server, how to consume data and build user interfaces with React, and how to read and write data with a MongoDB database. React allows you to build full-featured, data-driven applications faster and more efficiently than what is possible with JavaScript alone.

Samer Buna introduces modern JavaScript programming concepts, with an emphasis on functional methods and open-source tools. The lessons are almost completely hands-on, with live coding demonstrations that bring the concepts home.",Course,2025-04-22 01:39 UTC,N/A,false,N/A,
Fundamentos de la tecnología blockchain,"Nos encontramos en el abismo de una nueva forma disruptiva y radical de encaminar las transacciones que llevamos a cabo en internet. Aunque está todavía en sus primeros momentos, la tecnología blockchain demanda que le prestemos atención.
En este curso introductorio, aprenderás qué es la blockchain y qué podría significar para ti. Jonathan Reichental, que se encuentra entre los 100 mejores directores de sistemas de información del mundo de 2017, profundiza en la tecnología blockchain desde una perspectiva conceptual. El curso no es técnico, y está dirigido a aquellas personas que trabajen en puestos relacionados con la dirección, la ciencia de datos y la gestión informática.",Course,2021-08-02 18:05 UTC,N/A,false,N/A,
JavaScript: TDD y pruebas unitarias avanzado,"Con este curso aprenderás a trabajar con la metodología Test Driven Development para poder escribir pruebas unitarias. Conoce las mejores prácticas para crear pruebas simples, sencillas y precisas, perdiendo el miedo al proceso con frameworks como DOM Testing, Jest y Cypress para escribir pruebas unitarias y end-to-end mejor conocidas como e2e. Durante el contenido también te iniciaras en Wallaby, Jest Runner y Nx Workspace. Al terminar, serás capaz de escribir pruebas de una manera práctica, sencilla y eficaz a todo tu código de JavaScript.",Course,2022-09-03 16:41 UTC,N/A,false,N/A,
Trucos rápidos de OneDrive,Aumenta tu productividad y agiliza tu forma de trabajar con OneDrive gracias a este curso de consejos y trucos rápidos. Empieza hoy a expandir tus habilidades con esta colección diseñada para hacerte ahorrar tiempo y trabajo.,Course,2021-07-25 15:06 UTC,N/A,false,N/A,
Building Angular and ASP.NET Core Applications,"Want to build your own web application? In this course, Ervis Trupja shows you how, explaining what it takes to create a web app using Angular, the popular JavaScript framework, for the front end and the ASP.NET Web API for the back end. Ervis steps through how to build the service layer with the ASP.NET Web API to expose the required endpoints to create, read, update, and delete entries. He then shows how to build a UI using Angular with Bootstrap; implement NgRx—a framework for building reactive applications in Angular—in your app; and handle different user authentication cases with Auth0.",Course,2026-03-06 19:44 UTC,2026-03-06 19:43 UTC,false,N/A,
"C#: Interfaces, delegados, eventos y genéricos esencial","Amplía y expande tus conocimientos de C# gracias al dominio de los conceptos clave tales como las interfaces, los delegados, los eventos y los genéricos. Aprende a usar de manera efectiva estos mecanismos que sirven de base al lenguaje C# y que se utilizan de manera intensiva en las librerías de .Net para crear desarrollos más reutilizables, legibles, elegantes y seguros.",Course,2021-08-24 15:54 UTC,N/A,false,N/A,
Power BI: Modelado de datos con DAX,"Aprende a sacar mayor partido al uso del lenguaje DAX con Power BI profundizando en el manejo adecuado de las expresiones y la capacidad del lenguaje en la resolución de los requisitos de negocio en los informes. Durante el contenido empezarás por entender las bases del modelo tabular y del lenguaje DAX, para después pasar a los contextos y funciones, el uso avanzado de filtros y análisis de acumulados o comparativas en el tiempo. Para finalizar, descubrirás herramientas para tratar la calidad y optimización del modelo y las expresiones DAX. El curso es eminentemente práctico y todo el contenido se desarrollará con ejemplos para que puedas comprender y asimilar mejor los conocimientos.",Course,2023-05-09 14:05 UTC,N/A,false,N/A,
